iter	RMSE
505	50.31961366
506	50.31927982
507	50.28673405
508	50.26260213
509	50.24024457
510	50.22190778
511	50.19539728
512	50.17941243
513	50.16472319
514	50.15043886
515	50.15011953
516	50.13670835
517	50.09858669
518	50.06729735
519	50.02970625
520	49.99623622
521	49.98239776
522	49.98076913
523	49.95121793
524	49.90775653
525	49.89419018
526	49.8810056
527	49.85791843
528	49.84199374
529	49.8211105
530	49.80089894
531	49.77466109
532	49.7739069
533	49.7502955
534	49.74877777
535	49.72660351
536	49.7033556
537	49.70307053
538	49.6717403
539	49.63558597
540	49.62235296
541	49.6195566
542	49.59096258
543	49.55948466
544	49.52836365
545	49.50375053
546	49.49107113
547	49.45517681
548	49.43940192
549	49.40612247
550	49.36712008
551	49.34545805
552	49.31077039
553	49.28312542
554	49.23292243
555	49.23245134
556	49.1912898
557	49.17340677
558	49.15699597
559	49.1386387
560	49.11361585
561	49.07991589
562	49.06234402
563	49.03981318
564	49.01365911
565	48.97231163
566	48.95032365
567	48.94780764
568	48.93490068
569	48.91779818
570	48.89810397
571	48.86822372
572	48.86779974
573	48.85485335
574	48.84239205
575	48.81849324
576	48.79018444
577	48.76553933
578	48.75515223
579	48.75472825
580	48.73855339
581	48.71248798
582	48.68200324
583	48.66649853
584	48.6373444
585	48.60937415
586	48.58633757
587	48.56111012
588	48.53905844
589	48.51854544
590	48.49959861
591	48.47204067
592	48.44541235
593	48.43097411
594	48.40999987
595	48.39849943
596	48.37502433
597	48.35394872
598	48.31959043
599	48.30565158
600	48.28323327
601	48.24547286
602	48.22597588
603	48.19733958
604	48.18347774
605	48.17080443
606	48.14203875
607	48.12139682
608	48.09474201
609	48.06823534
610	48.04515947
611	48.02410151
612	48.01360178
613	48.00287448
614	47.97525765
615	47.95263173
616	47.93402972
617	47.92199485
618	47.88355713
619	47.85349332
620	47.83561295
621	47.82574816
622	47.81209035
623	47.81169807
624	47.78399981
625	47.76339855
626	47.74882131
627	47.73259726
628	47.70443777
629	47.6855896
630	47.65657486
631	47.63255297
632	47.60657373
633	47.57949172
634	47.53996173
635	47.52557761
636	47.50551231
637	47.48116832
638	47.44343352
639	47.41815363
640	47.40239695
641	47.39031201
